SHELL, 100, 0.0059833526611328125
KNUTH, 100, 0.003988981246948242
CIURA, 100, 0.005985736846923828
SHELL, 1000, 0.04388141632080078
KNUTH, 1000, 0.025930404663085938
CIURA, 1000, 0.02593088150024414
SHELL, 10000, 0.3540537357330322
KNUTH, 10000, 0.13164734840393066
CIURA, 10000, 0.11668825149536133
SHELL, 100000, 3.939221143722534
KNUTH, 100000, 0.5458238124847412
CIURA, 100000, 0.7294933795928955
SHELL, 1000000, 127.69388914108276
KNUTH, 1000000, 7.147246837615967
CIURA, 1000000, 8.98598051071167
